DesignNo,ProjectName,Company,ProjectLeader
2017S001,市政分院项目01,建设单位01,某某某
2017S002,市政分院项目02,建设单位02,某某某
2017S003,市政分院项目03,建设单位03,某某某
2017S004,市政分院项目04,建设单位04,某某某
2017S005,市政分院项目05,建设单位05,某某某
2017S006,市政分院项目06,建设单位06,某某某
2017S007,市政分院项目07,建设单位07,某某某
2017S008,市政分院项目08,建设单位08,某某某
2017S009,市政分院项目09,建设单位09,某某某
2017S010,市政分院项目10,建设单位10,某某某
2017S011,市政分院项目11,建设单位11,某某某
2017S012,市政分院项目12,建设单位12,某某某
2017S013,市政分院项目13,建设单位13,某某某
2017S014,市政分院项目14,建设单位14,某某某
2017S015,市政分院项目15,建设单位15,某某某
2017S016,市政分院项目16,建设单位16,某某某
2017S017,市政分院项目17,建设单位17,某某某
2017S018,市政分院项目18,建设单位18,某某某
2017S019,市政分院项目19,建设单位19,某某某
2017S020,市政分院项目20,建设单位20,某某某
2017S021,市政分院项目21,建设单位21,某某某
2017S022,市政分院项目22,建设单位22,某某某
2017S023,市政分院项目23,建设单位23,某某某
2017S024,市政分院项目24,建设单位24,某某某
2017S025,市政分院项目25,建设单位25,某某某
2017S026,市政分院项目26,建设单位26,某某某
2017S027,市政分院项目27,建设单位27,某某某
2017S028,市政分院项目28,建设单位28,某某某
2017S029,市政分院项目29,建设单位29,某某某
2017S030,市政分院项目30,建设单位30,某某某
2017J001,建筑分院项目01,建设单位31,某某某
2017J002,建筑分院项目02,建设单位32,某某某
2017J003,建筑分院项目03,建设单位33,某某某
2017J004,建筑分院项目04,建设单位34,某某某
2017J005,建筑分院项目05,建设单位35,某某某
2017J006,建筑分院项目06,建设单位36,某某某
2017J007,建筑分院项目07,建设单位37,某某某
2017J008,建筑分院项目08,建设单位38,某某某
2017J009,建筑分院项目09,建设单位39,某某某
2017J010,建筑分院项目10,建设单位40,某某某
2017J011,建筑分院项目11,建设单位41,某某某
2017J012,建筑分院项目12,建设单位42,某某某
2017J013,建筑分院项目13,建设单位43,某某某
2017J014,建筑分院项目14,建设单位44,某某某
2017J015,建筑分院项目15,建设单位45,某某某
2017J016,建筑分院项目16,建设单位46,某某某
2017J017,建筑分院项目17,建设单位47,某某某
2017J018,建筑分院项目18,建设单位48,某某某
2017J019,建筑分院项目19,建设单位49,某某某
2017J020,建筑分院项目20,建设单位50,某某某
2017J021,建筑分院项目21,建设单位51,某某某
2017J022,建筑分院项目22,建设单位52,某某某
2017J023,建筑分院项目23,建设单位53,某某某
2017J024,建筑分院项目24,建设单位54,某某某
2017J025,建筑分院项目25,建设单位55,某某某
2017J026,建筑分院项目26,建设单位56,某某某
2017J027,建筑分院项目27,建设单位57,某某某
2017J028,建筑分院项目28,建设单位58,某某某
2017J029,建筑分院项目29,建设单位59,某某某
2017J030,建筑分院项目30,建设单位60,某某某
